SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
CHL-001,GAYATHRI MEDICAL & GENERAL STORES,,GMGS,,,,,,,,,,,,,,,,Picket,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4527536,78.498635
CHL-002,SRI SAI MEDICAL & GENERAL STORIES,,SSMGS,,,,,,,,,,,,,,,,Picket,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4527536,78.498635
CHL-003,SRI LAXMI MEDICAL GENERAL & STORES,,SLMGS,,,,,,,,,,,,,,,,Picket,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4527536,78.498635
CHL-004,OM SHIVA SAI MEDICAL HALL,,OSSMH,,,,,,,,,,,,,,,,Picket,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4527536,78.498635
CHL-005,RAVINDERA NEICAL & GENERAL STORES,,RNGS,,,,,,,,,,,,,,,,Picket,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4527536,78.498635
CHL-006,VASAVI MEDICAL GENERAL & STORES,,VMGS,,,,,,,,,,,,,,,,Picket,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4527536,78.498635
CHL-007,SRINIVAS MEDICAL HALL,,SMH,,,,,,,,,,,,,,,,Picket,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4527536,78.498635
CHL-008,SAI RAM MEDICAL & GENERAL STORES,,SRMGS,,,,,,,,,,,,,,,,Picket,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4527536,78.498635
CHL-009,VISHWASWARA MEDICAL & GENERAL STORIES,,VMGS,,,,,,,,,,,,,,,,Begumpet + Rasulpura,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4447068,78.4663812
CHL-010,MEDPLUS,,MP,,,,,,,,,,,,,,,,Begumpet + Rasulpura,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4447068,78.4663812
CHL-011,SWASTICK MEDICAL & GENRAL SRORES,,SMGS,,,,,,,,,,,,,,,,Begumpet + Rasulpura,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4447068,78.4663812
