SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
UAEPHAR00001,AJMAL PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,Dubai-Karama 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2489204,55.3060551
UAEPHAR00002,AL MANKHOOL PHARMACY,,,,,,,,,,,,,,,,,,Dubai-Karama 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2489204,55.3060551
UAEPHAR00003,AL RAYAN PHARMACY,,,,,,,,,,,,,,,,,,Dubai-Karama 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2489204,55.3060551
UAEPHAR00004,ASTER LAMCY PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,Dubai-Karama 3,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2489204,55.3060551
UAEPHAR00005,ASTER PHARMACY 110-DUBAI,,,,,,,,,,,,,,,,,,Dubai-Karama 3,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2489204,55.3060551
UAEPHAR00006,BADER PHARMACY - DXB,,,,,,,,,,,,,,,,,,Dubai-Karama 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2489204,55.3060551
UAEPHAR00007,BASHAER PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,Dubai-Satwa 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.21937,55.272887
UAEPHAR00008,BINSINA MODERN PHARMACY-DIYAFAH STREET,,,,,,,,,,,,,,,,,,Dubai-Satwa 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.21937,55.272887
UAEPHAR00009,BURJEEL HOSPITAL FOR ADVANCED SURGERY L.L.C.-DUBAI,,,,,,,,,,,,,,,,,,Dubai-Al Quoz,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1347894,55.2369693
UAEPHAR00010,FAITH WAY PHARMACY L.L.C.-DUBAI,,,,,,,,,,,,,,,,,,Dubai-Jumeirah,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2016428,55.2452567
UAEPHAR00011,FOUR SEASONS PHARMACY DUBAI,,,,,,,,,,,,,,,,,,Dubai-Satwa 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.21937,55.272887
UAEPHAR00012,GHAZAL JUMEIRAH PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,Dubai-Satwa 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.21937,55.272887
